type,title,ingredients,oven_temp,directions,notes_on_texture,link,equipment_needed,flour_ratio,sugar_ratio,Butter_ratio,cleaned_texture,texture_category
Brownie,Chocolate Frosted Brownies (Tastes Better from Scratch),"1 cup oil, 2 cups granulated sugar, 4 large eggs, 6 tbsp unsweetened cocoa powder, 1 tsp salt, 1 1/2 cups all-purpose flour, 1 tbsp vanilla extract, Optional Frosting: 1/2 cup butter, 1/2 cup unsweetened cocoa powder, pinch of salt, 2-3 cups powdered sugar, 1 tsp vanilla extract, 5-6 tbsp milk",350 F,"Preheat oven to 350¬∞F. Mix sugar and oil in a bowl, then add eggs one at a time, followed by vanilla. Stir in cocoa powder, salt, and flour. Pour batter into a greased 9x13 pan and bake for 30 minutes. Cool completely before frosting. For frosting, cream butter, cocoa powder, and salt, then add vanilla, powdered sugar, and milk until desired consistency. Frost Brownies and store in an airtight container.",Fudgy Brownies with optional creamy chocolate frosting.,https://tastesbetterfromscratch.com/chocolate-frosted-Brownies/,"9x13 pan, mixing bowls, whisk, spatula",3,8,1,Fudgy Brownies with optional creamy chocolate frosting,creamy
Brownie,Fudgy Brownies (Natasha's Kitchen),"1/2 lb unsalted butter, 16 oz semisweet chocolate chips (divided), 4 large eggs, 1 1/4 cups granulated sugar, 1 tbsp instant coffee granules, 3 tbsp light olive oil, 1 tbsp vanilla extract, 2/3 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1 1/2 tsp baking powder, 1/2 tsp salt",350 F,"Preheat oven to 350¬∞F. Butter and line a 9x9 pan with parchment paper. Melt 2 cups chocolate chips with butter in a saucepan over low heat, then set aside to cool. In a large bowl, whisk eggs, sugar, coffee granules, oil, and vanilla. Stir in cooled chocolate mixture. In another bowl, whisk flour, cocoa, baking powder, and salt, then fold into batter until just combined. Transfer to pan, sprinkle remaining chocolate chips, and bake for 35-40 minutes. Cool before cutting.","Super fudgy Brownies with a rich chocolate flavor, best served at room temperature.",https://natashaskitchen.com/fudgy-Brownie-recipe/,"9x9 pan, saucepan, whisk, spatula, mixing bowls, parchment paper",2,5,4,Super fudgy Brownies with a rich chocolate flavor best served at room temperature,"gooey,creamy,rich"
Brownie,Fudgy Brownies (Natasha's Kitchen),"1/2 lb unsalted butter, 16 oz semisweet chocolate chips (divided), 4 large eggs, 1 1/4 cups granulated sugar, 1 tbsp instant coffee granules, 3 tbsp light olive oil, 1 tbsp vanilla extract, 2/3 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1 1/2 tsp baking powder, 1/2 tsp salt",350 F,"Preheat oven to 350¬∞F. Butter a 9x9 pan and line with parchment paper. Melt 2 cups of chocolate chips with butter, set aside to cool. In a large bowl, whisk eggs, sugar, coffee granules, oil, and vanilla. Stir in cooled chocolate mixture. Fold in flour, cocoa powder, baking powder, and salt. Pour batter into pan, sprinkle remaining chocolate chips on top, and bake for 35-40 minutes. Cool before cutting.","Super fudgy Brownies with a rich chocolate flavor, best when cooled before serving.",https://natashaskitchen.com/fudgy-Brownie-recipe/,"9x9 pan, parchment paper, saucepan, whisk, spatula",2,5,4,Super fudgy Brownies with a rich chocolate flavor best when cooled before serving,"gooey,creamy,rich"
Brownie,Quick and Easy Brownies (AllRecipes),"2 cups white sugar, 1 1/2 cups all-purpose flour, 1 cup melted butter, 4 eggs, 1/2 cup cocoa powder, 1 tsp vanilla extract, 1/2 tsp baking powder, 1/2 tsp salt, 1/2 cup walnut halves",350 F,"Preheat oven to 350¬∞F. Grease a 9x13-inch pan. In a large bowl, mix together sugar, flour, melted butter, eggs, cocoa powder, vanilla, baking powder, and salt. Spread batter into the prepared pan. Decorate with walnut halves. Bake for 20-30 minutes, until the top is dry and edges pull away from the sides. Cool before slicing.","Quick and easy Brownies with a chewy, nutty texture.",https://www.allrecipes.com/recipe/9599/quick-and-easy-Brownies/,"9x13 pan, mixing bowl, whisk, spatula",3,4,2,Quick and easy Brownies with a chewy nutty texture,"gooey,chewy,creamy"
Brownie,Easy One-Bowl Fudgy Cocoa Brownies (Gimme Delicious),"1/2 cup butter or oil, 1 cup sugar, 1/2 cup unsweetened cocoa powder, 2 large eggs, 1 tsp vanilla, 1/4 cup flour, 1/4 tsp salt, 1/2 cup add-ins (chocolate chips, nuts, etc.)",350 F,"Preheat oven to 350¬∞F. Grease an 8x8 or 9x5 pan. Melt butter in a microwave-safe bowl, then whisk in sugar and cocoa powder for 1 minute until sugar dissolves. Add eggs one at a time, then vanilla, whisking until the batter is shiny. Stir in flour and salt until fully combined, careful not to overmix. Fold in add-ins if using. Spread batter into the pan and bake for 20 minutes or until center is slightly set. Cool completely before cutting.","Fudgy with a shiny top, easy one-bowl preparation.",https://gimmedelicious.com/easy-one-bowl-fudgy-cocoa-Brownies/,"8x8 or 9x5 pan, microwave-safe bowl, whisk, spatula",1,4,2,Fudgy with a shiny top easy onebowl preparation,creamy
Brownie,Easy Homemade Brownies (My TX Kitchen),"1/2 cup melted butter, 1 cup granulated sugar, 1 tsp vanilla extract, 2 eggs, 1/4 tsp baking soda, 1/4 tsp salt, 1/2 cup all-purpose flour, 1/2 cup cocoa powder, 1 1/2 cups chocolate chips",350 F,"Preheat oven to 350¬∞F. Line a 9x9 square pan with parchment paper. In a large bowl, whisk together butter, sugar, and vanilla. Whisk in eggs until incorporated. Add baking soda, salt, flour, and cocoa powder, stirring until combined. Fold in chocolate chips. Spread batter into the prepared pan and bake for 25-30 minutes. Cool for 30 minutes before cutting.","Thick and rich Brownies with a chewy texture, chocolate chips add extra fudginess.",https://mytxkitchen.com/easy-homemade-Brownies/,"9x9 metal pan, parchment paper, whisk, mixing bowl",1,2,1,Thick and rich Brownies with a chewy texture chocolate chips add extra fudginess,"gooey,chewy,creamy,rich"
Brownie,Best Easy Brownies (Handle the Heat),"10 tbsp unsalted butter, 4 oz semisweet chocolate (chopped), 1 cup granulated sugar, 2 large eggs + 1 egg yolk, 1 tsp vanilla extract, 3/4 cup all-purpose flour, 1/4 cup unsweetened cocoa powder, 1/4 tsp fine salt, 1 cup semisweet chocolate chips",350 F,"Preheat oven to 350¬∞F. Line an 8-inch square pan with parchment paper. Microwave chocolate and butter in 30-second intervals until melted. Stir in sugar, then cool slightly. Whisk in eggs, egg yolk, and vanilla. Stir in flour, cocoa powder, and salt until just combined, then fold in chocolate chips. Pour into pan and bake for 25-30 minutes. Let cool for 30 minutes before slicing.","Shiny crust on top, fudgy with moist crumbs in the center.",https://handletheheat.com/best-easy-Brownies/,"8-inch square pan, parchment paper, microwave-safe bowl, whisk, spatula",3,4,2,Shiny crust on top fudgy with moist crumbs in the center,"gooey,moist,creamy"
Brownie,Easy Homemade Brownies (I Heart Naptime),"1/2 cup unsalted butter (melted), 1 tbsp vegetable oil, 1 cup granulated sugar, 1/4 cup light brown sugar, 2 large eggs, 2 tsp vanilla extract, 1/2 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1/2 tsp kosher salt, 1/2 cup semi-sweet chocolate chips (optional)",350 F,"Preheat oven to 350¬∞F. Line an 8x8 pan with parchment paper and spray with non-stick spray. In a large bowl, whisk together melted butter, vegetable oil, granulated sugar, and brown sugar. Add eggs and vanilla and whisk for 1 minute. Stir in flour, cocoa powder, and salt until just combined. Add chocolate chips and stir. Bake for 20-25 minutes. Cool slightly in the pan before cutting into squares.",Rich and chewy with optional chocolate chips for extra fudginess.,https://www.iheartnaptime.net/easy-homemade-Brownies/,"8x8 pan, parchment paper, whisk, mixing bowl, spatula",1,4,2,Rich and chewy with optional chocolate chips for extra fudginess,"chewy,creamy"
Brownie,Super Easy Homemade Brownies (The Baking Chocolatess),"2/3 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1/4 tsp salt, 1/2 cup unsalted butter, 2 tbsp canola oil, 1 1/4 cups sugar, 2 eggs or 1/2 cup applesauce, 1 tbsp vanilla extract",350 F,"Preheat oven to 350¬∞F. Grease or line an 8x8 square pan with parchment paper. Mix flour, cocoa, and salt, and set aside. Melt butter in the microwave, then whisk in oil and sugar. Add eggs and vanilla, and mix until well combined. Stir in the flour mixture and whisk until smooth. Spoon batter into the prepared pan and bake for 28-30 minutes, or until a toothpick comes out with a few crumbs. Cool before cutting.",Rich and thick Brownies with a soft center and crispy edges.,https://www.thebakingchocolatess.com/super-easy-homemade-Brownies/,"8x8 pan, microwave-safe bowl, whisk, spatula",2,5,2,Rich and thick Brownies with a soft center and crispy edges,"soft,firm,crispy,thick,creamy"
Brownie,"Quick and Easy Brownies Like Box Mix (Life, Love and Sugar)","3/4 cup all-purpose flour, 1/2 cup unsweetened cocoa powder, 1/4 tsp + 1/8 tsp baking powder, 1/4 tsp salt, 3/4 cup vegetable oil, 1 1/2 cups sugar, 1 1/2 tsp vanilla extract, 3 large eggs",350 F,"Preheat oven to 350¬∞F. Grease a 9x9 square pan or line it with parchment paper. In a medium bowl, mix flour, cocoa powder, baking powder, and salt. In a large bowl, mix oil, sugar, and vanilla. Add eggs and stir until well combined. Mix in dry ingredients without overmixing. Pour batter into pan and bake for 25-30 minutes. Cool before removing from the pan and slicing into bars.",Moist and fudgy with a texture like a box mix.,https://www.lifeloveandsugar.com/quick-easy-Brownies-like-box-mix/,"9x9 pan, parchment paper, mixing bowls, whisk",3,6,3,Moist and fudgy with a texture like a box mix,"gooey,creamy"
Brownie,Brownies (The Kitchn),"2 sticks unsalted butter, 6 oz bittersweet chocolate, 1 1/2 cups granulated sugar, 3 large eggs, 1 large egg yolk, 2 tsp vanilla extract, 1 tsp instant espresso powder (optional), 1/2 tsp kosher salt, 1/2 cup all-purpose flour, 1/4 cup cocoa powder, 1 cup semi-sweet chocolate chips",325 F,"Preheat oven to 325¬∞F. Grease a 9x13-inch pan and line with parchment. Melt butter and chocolate in a saucepan over low heat. Stir in sugar and let cool for 5-10 minutes. Whisk in eggs, yolk, vanilla, espresso powder (optional), and salt. Sift in flour and cocoa powder, and fold until just combined. Stir in chocolate chips. Pour into pan and bake for 25-30 minutes. Cool before cutting into squares.",Smooth and glossy batter with rich chocolate flavor and fudgy texture.,https://www.thekitchn.com/Brownies-recipe-23658878,"9x13-inch pan, parchment paper, saucepan, whisk, spatula",2,6,4,Smooth and glossy batter with rich chocolate flavor and fudgy texture,"gooey,creamy,rich"
Brownie,Best Brownies (Simply Recipes),"10 tbsp unsalted butter, 1 1/4 cups granulated sugar, 3/4 cup + 2 tbsp unsweetened cocoa powder, 1/4 tsp kosher salt, 1/2 tsp almond extract, 2 cold large eggs, 1/2 cup all-purpose flour, 2/3 cup pecan pieces",325 F,"Preheat oven to 325¬∞F. Line an 8-inch square pan with parchment paper. Heat butter, cocoa, sugar, and salt in a large metal bowl set over a skillet with simmering water. Stir until smooth and hot to touch. Remove from heat. Stir in almond extract. Beat in eggs one at a time, then mix in flour and beat batter until smooth. Stir in pecans. Pour batter into pan and smooth. Bake for 25-40 minutes or until a toothpick comes out moist but not raw. Cool completely before cutting into squares.","Smooth, shiny, and thick batter resulting in fudgy, nutty Brownies.",https://www.simplyrecipes.com/recipes/best_Brownies/,"8-inch square pan, parchment paper, metal bowl, skillet, whisk",1,5,4,Smooth shiny and thick batter resulting in fudgy nutty Brownies,"gooey,thick,creamy"
Brownie,Easy Brownies (NYT Cooking),"3 oz unsweetened chocolate, 8 tbsp butter, 1 cup sugar, 2 eggs, 1/2 cup all-purpose flour, Pinch of salt, 1/2 tsp vanilla extract (optional)",350 F,"Preheat oven to 350¬∞F. In a small saucepan over low heat, melt chocolate and butter, stirring occasionally. When melted, transfer to a bowl and stir in sugar. Beat in eggs one at a time. Add flour, salt (if using unsalted butter), and vanilla (optional), stirring just until no flour remains. Pour into greased 8-inch square pan. Bake for 20-30 minutes or until set and firm in the center. Cool before cutting into squares.","Set and firm in the center, with a rich chocolate flavor.",https://cooking.nytimes.com/recipes/1018653-easy-Brownies,"8-inch square pan, saucepan, mixing bowl, whisk",1,2,2,Set and firm in the center with a rich chocolate flavor,"gooey,firm,creamy,rich"
Brownie,Fudgy Brownies (Cakes By MK),"3/4 cup dark chocolate, 3/4 cup flour, 1/2 tsp salt, 1/2 cup unsalted butter, 1/4 cup vegetable oil, 1/2 cup brown sugar, 2/3 cup cocoa powder, 1 tsp coffee powder, 1 tsp vanilla essence, 1 cup white sugar, 2 large eggs",325 F,"Preheat oven to 320¬∞F with fan on. Grease an 8-inch square tin and line with parchment. Cut chocolate into chunks and mix with flour and salt. In a microwave-safe bowl, combine butter, oil, cocoa powder, brown sugar, coffee, and vanilla. Heat in 20-second bursts, mixing until liquid and hot. Set aside. In another bowl, beat white sugar and eggs until light and creamy (3 minutes). Fold chocolate mixture into egg mixture, then gently fold in dry ingredients. Pour batter into tin and bake for 22-25 minutes. Let cool for 1 hour before cutting.","Rich, fudgy Brownies with a dense, gooey texture.",https://cakesbymk.com/recipe/fudgy-Brownies/,"8-inch square tin, mixing bowls, microwave, hand mixer",1,3,2,Rich fudgy Brownies with a dense gooey texture,"gooey,cakey,thick,creamy,rich"
Brownie,Fudgy Brownies I (AllRecipes),"3/4 cup unsweetened cocoa powder, 1/2 tsp baking soda, 2/3 cup vegetable oil, 1/2 cup boiling water, 2 cups white sugar, 2 large eggs, 1 1/3 cups all-purpose flour, 1 tsp vanilla extract, 1/4 tsp salt",350 F,"Preheat oven to 350¬∞F. Grease and flour a 9x13-inch pan. Stir cocoa and baking soda together in a large bowl. Mix in boiling water and 1/3 cup oil until well blended and thickened. Stir in sugar, remaining oil, and eggs. Mix in flour, vanilla, and salt until just absorbed. Spread batter into prepared pan. Bake for 35-40 minutes or until a toothpick inserted comes out clean. Let cool before cutting into 24 squares.","Fudgy Brownies with a rich, dense texture.",https://www.allrecipes.com/recipe/16722/fudgy-Brownies-i/,"9x13-inch pan, mixing bowl, spatula, measuring cups",2,6,3,Fudgy Brownies with a rich dense texture,"gooey,cakey,thick,creamy,rich"
Brownie,Best Fudgy Cocoa Brownies (Cafe Delites),"1/2 cup unsalted butter, 1 tbsp cooking oil, 1 1/8 cup sugar, 2 large eggs, 2 tsp vanilla extract, 1/2 cup flour, 1/2 cup unsweetened cocoa powder, 1/4 tsp salt",350 F,"Preheat oven to 350¬∞F. Grease an 8-inch square pan and line with parchment paper. Combine hot melted butter, oil, and sugar in a bowl. Whisk well for 1 minute. Add eggs and vanilla; beat until lighter in color. Sift in flour, cocoa powder, and salt. Fold until just combined. Pour batter into pan and bake for 20-25 minutes or until the center no longer jiggles. Let cool before slicing into 16 Brownies.","Fudgy, rich Brownies with a dense, gooey center.",https://cafedelites.com/best-fudgy-cocoa-Brownies/,"8-inch square baking pan, mixing bowl, whisk, spatula, parchment paper",1,2,1,Fudgy rich Brownies with a dense gooey center,"gooey,cakey,thick,creamy,rich"
Brownie,Cakey Brownies,"6 ounces dark chocolate chips (170 grams), 6 tablespoons unsalted butter (85 grams), 1 cup granulated sugar (200 grams), 2 large eggs (100 grams), 2 tablespoons brewed black coffee (28 grams), 2 teaspoons pure vanilla extract (8 grams), ¬æ cup all-purpose flour (90 grams), ¬º cup unsweetened cocoa powder (21 grams), ¬Ω teaspoon baking powder (2 grams), ¬Ω teaspoon kosher salt, ¬Ω cup chocolate chips (85 grams, optional), ¬Ω cup chopped nuts (57 grams, optional)",350 F,"1. Preheat the oven to 350¬∞F. Line an 8√ó8-inch baking pan with parchment paper. Set aside.
2. Place the butter and chocolate chips in a heatproof glass bowl and microwave in 30-second intervals, stirring between each blast of heat, until smooth. Add the sugar and whisk well. Set aside to cool for about 5 minutes.
3. Add the eggs to the cooled chocolate mixture and whisk well until the batter thickens.
4. Add the coffee and vanilla and mix until combined, about 1-2 minutes.
5. Whisk in the flour, cocoa powder, baking powder, and salt until well combined.
6. Fold in nuts or chocolate chips, if using.
7. Transfer the batter to the prepared baking pan.
8. Bake for 25-30 minutes until top is dry, then remove to cool completely.",Cakey,https://easydessertrecipes.com/cakey-Brownies-recipe/,"Kitchen Scale (optional), 8√ó8 Baking Pan",1,2,1,Cakey,creamy
